,9,2,5,1,7
9,,1.4536778039200693,1.0467092985968058,1.7190833424919265,1.4207034840322907
2,1.4536778039200693,,1.3751422784407143,1.9110308679561812,1.6387743013110994
5,1.0467092985968058,1.3751422784407143,,1.4691633194786298,1.5281108355251232
1,1.7190833424919265,1.9110308679561812,1.4691633194786298,,1.8725754666515413
7,1.4207034840322907,1.6387743013110994,1.5281108355251232,1.8725754666515413,
