,9,2,5,1,7
9,,1.1552720000197387,1.0335772198577808,1.300031509371662,1.1909791250607138
2,1.1552720000197387,,1.0869030063673468,1.3268463343740569,1.3239495580062988
5,1.0335772198577808,1.0869030063673468,,1.137248850015815,1.2726121351553683
1,1.300031509371662,1.3268463343740569,1.137248850015815,,1.3628794040320635
7,1.1909791250607138,1.3239495580062988,1.2726121351553683,1.3628794040320635,
